code,name,date,close,score,grade,active_pool_rank,turnover_n,signal_type,j,rsi,trend_white,yellow,bbi,short_term,long_term,daily_amp,daily_change,doji_up
300162,雷曼光电,2026-04-24,9.12,,PASS,1596,137924836.2061,超卖缩量B,13.935283,15.728957,9.270774,8.984828,9.362813,28.235294,59.358289,4.955,1.8299,False
600320,振华重工,2026-04-24,5.03,,PASS,1613,136392590.9089,原始B1,12.799611,32.997289,5.070638,5.049002,5.059063,22.222222,66.17647,3.3932,1.3725,False
600056,中国医药,2026-04-24,10.43,,PASS,1675,131440919.4407,超卖缩量B,-2.451044,20.77552,10.713195,10.673742,10.589063,68.421052,32.947977,1.7476,0.0,False
301509,金凯生科,2026-04-24,41.28,,PASS,1786,121827677.7247,超卖缩量B,-6.972094,13.701752,43.373288,40.850515,42.956563,22.591362,24.226804,2.5862,1.3384,False
688131,皓元医药,2026-04-24,72.96,,PASS,1811,119567726.9861,原始B1,-8.896387,16.253903,73.795299,72.364601,74.388125,3.348214,60.743427,5.1229,1.1382,False
002135,东南网架,2026-04-24,7.28,,PASS,1825,118559141.7936,原始B1,11.600224,19.989021,7.324903,6.779618,7.391667,45.070422,71.942446,6.0345,0.9524,False
300050,世纪鼎利,2026-04-24,7.04,,PASS,1844,116939707.4395,超卖缩量B,8.316194,28.876756,7.153968,6.704779,7.179062,44.615385,50.60241,4.5926,0.4243,False
600398,海澜之家,2026-04-24,6.38,,PASS,1883,114526887.4536,回踩黄线B,-9.429304,18.361827,6.533069,6.387654,6.478438,74.999999,47.368421,1.7488,0.3145,True
002100,天康生物,2026-04-24,7.55,,PASS,1885,114051855.0674,回踩黄线B,-4.812431,11.309118,7.807301,7.574532,7.7675,21.212121,40.740741,4.2781,3.3291,False
603222,济民健康,2026-04-24,9.66,,PASS,1903,112368627.2235,回踩黄线B,11.586085,7.46053,10.125908,9.717267,10.062917,38.235294,36.111111,6.5804,2.5227,False
301568,思泰克,2026-04-24,54.12,,PASS,1944,108960601.9982,超卖缩量B,10.334429,22.71748,54.117457,52.485291,54.707604,10.526316,71.138996,2.8077,1.1687,False
300780,德恩精工,2026-04-24,23.32,,PASS,1971,106414408.7627,超卖缩量B,16.469318,20.590482,23.332471,22.817533,23.641667,22.926829,69.868173,3.5011,0.427,False
